	bio_celltype
pdacb_cell_153	Cancer
pdacb_cell_154	Cancer
pdacb_cell_155	Endothelial cells
pdacb_cell_156	Ductal - CRISP3 high
pdacb_cell_157	Ductal - MHC Class II
pdacb_cell_158	Ductal - terminal ductal like
pdacb_cell_159	Ductal - terminal ductal like
pdacb_cell_160	Ductal - terminal ductal like
pdacb_cell_161	Cancer
pdacb_cell_162	Ductal - terminal ductal like
pdacb_cell_163	Ductal - terminal ductal like
pdacb_cell_164	Ductal - terminal ductal like
pdacb_cell_165	Endocrine cells
pdacb_cell_166	Ductal - MHC Class II
pdacb_cell_167	Ductal - terminal ductal like
pdacb_cell_168	mDCs
pdacb_cell_169	Ductal - MHC Class II
pdacb_cell_170	Cancer
pdacb_cell_171	Endothelial cells
pdacb_cell_172	Ductal - terminal ductal like
pdacb_cell_173	Ductal - terminal ductal like
pdacb_cell_174	Cancer
pdacb_cell_175	Tuft cells
pdacb_cell_176	Ductal - terminal ductal like
pdacb_cell_177	Ductal - terminal ductal like
pdacb_cell_178	Ductal - terminal ductal like
pdacb_cell_179	Ductal - terminal ductal like
pdacb_cell_180	Ductal - terminal ductal like
pdacb_cell_181	Ductal - MHC Class II
pdacb_cell_182	Ductal - terminal ductal like
pdacb_cell_183	Cancer
pdacb_cell_184	Ductal - terminal ductal like
pdacb_cell_185	Cancer
pdacb_cell_186	Ductal - terminal ductal like
pdacb_cell_187	Endothelial cells
pdacb_cell_188	Ductal - terminal ductal like
pdacb_cell_189	Cancer
pdacb_cell_190	Cancer
pdacb_cell_191	Cancer
pdacb_cell_192	Endothelial cells
pdacb_cell_193	Ductal - terminal ductal like
pdacb_cell_194	Ductal - terminal ductal like
pdacb_cell_195	Cancer
pdacb_cell_196	Cancer
pdacb_cell_197	Ductal - terminal ductal like
pdacb_cell_198	Cancer
pdacb_cell_199	Ductal - MHC Class II
pdacb_cell_200	Cancer
pdacb_cell_201	Ductal - CRISP3 high
pdacb_cell_202	Ductal - terminal ductal like
pdacb_cell_203	Ductal - terminal ductal like
pdacb_cell_204	Cancer
pdacb_cell_205	Ductal - terminal ductal like
pdacb_cell_206	Endothelial cells
pdacb_cell_207	Endothelial cells
pdacb_cell_208	Ductal - terminal ductal like
pdacb_cell_209	Ductal - terminal ductal like
pdacb_cell_210	Ductal - MHC Class II
pdacb_cell_211	Ductal - terminal ductal like
pdacb_cell_212	mDCs
pdacb_cell_214	Ductal - terminal ductal like
pdacb_cell_215	Ductal - terminal ductal like
pdacb_cell_216	mDCs
pdacb_cell_217	Ductal - terminal ductal like
pdacb_cell_218	Ductal - terminal ductal like
pdacb_cell_219	Ductal - terminal ductal like
pdacb_cell_220	Ductal - terminal ductal like
pdacb_cell_221	Ductal - terminal ductal like
pdacb_cell_222	Ductal - MHC Class II
pdacb_cell_223	Ductal - MHC Class II
pdacb_cell_224	Cancer
pdacb_cell_225	Ductal - terminal ductal like
pdacb_cell_226	Ductal - MHC Class II
pdacb_cell_227	Ductal - terminal ductal like
pdacb_cell_228	Ductal - terminal ductal like
pdacb_cell_229	Ductal - CRISP3 high
pdacb_cell_230	Ductal - terminal ductal like
pdacb_cell_231	Cancer
pdacb_cell_232	Cancer
pdacb_cell_233	Ductal - MHC Class II
pdacb_cell_234	Ductal - terminal ductal like
pdacb_cell_235	Ductal - terminal ductal like
