	bio_celltype
pdacb_cell_676	Ductal - CRISP3 high
pdacb_cell_677	Ductal - terminal ductal like
pdacb_cell_678	Cancer
pdacb_cell_679	Cancer
pdacb_cell_680	Ductal - MHC Class II
pdacb_cell_681	Endothelial cells
pdacb_cell_682	Ductal - MHC Class II
pdacb_cell_683	Endothelial cells
pdacb_cell_684	Ductal - MHC Class II
pdacb_cell_685	Ductal - terminal ductal like
pdacb_cell_686	Tuft cells
pdacb_cell_687	Ductal - terminal ductal like
pdacb_cell_688	Ductal - terminal ductal like
pdacb_cell_689	Tuft cells
pdacb_cell_690	Ductal - terminal ductal like
pdacb_cell_691	Ductal - terminal ductal like
pdacb_cell_692	Cancer
pdacb_cell_693	Ductal - terminal ductal like
pdacb_cell_694	Ductal - MHC Class II
pdacb_cell_695	Ductal - CRISP3 high
pdacb_cell_696	Ductal - MHC Class II
pdacb_cell_697	Ductal - MHC Class II
pdacb_cell_698	Ductal - terminal ductal like
pdacb_cell_699	Cancer
pdacb_cell_700	Cancer
pdacb_cell_701	Ductal - CRISP3 high
pdacb_cell_702	Ductal - terminal ductal like
pdacb_cell_703	Cancer
pdacb_cell_704	Ductal - terminal ductal like
pdacb_cell_705	Cancer
pdacb_cell_706	Cancer
pdacb_cell_707	Ductal - terminal ductal like
pdacb_cell_708	Ductal - terminal ductal like
pdacb_cell_709	Ductal - terminal ductal like
pdacb_cell_710	Ductal - MHC Class II
pdacb_cell_711	Ductal - terminal ductal like
pdacb_cell_712	Ductal - CRISP3 high
pdacb_cell_713	Ductal - MHC Class II
pdacb_cell_714	Endothelial cells
pdacb_cell_715	Ductal - terminal ductal like
pdacb_cell_716	Ductal - CRISP3 high
pdacb_cell_717	Endothelial cells
pdacb_cell_718	Ductal - terminal ductal like
pdacb_cell_719	Ductal - MHC Class II
pdacb_cell_720	Ductal - terminal ductal like
pdacb_cell_721	Ductal - MHC Class II
pdacb_cell_722	Ductal - terminal ductal like
pdacb_cell_723	Cancer
pdacb_cell_724	Ductal - CRISP3 high
pdacb_cell_725	Ductal - terminal ductal like
pdacb_cell_726	Ductal - MHC Class II
pdacb_cell_727	Ductal - MHC Class II
pdacb_cell_728	Endothelial cells
pdacb_cell_729	Cancer
pdacb_cell_730	Ductal - terminal ductal like
pdacb_cell_731	Ductal - terminal ductal like
pdacb_cell_732	Endothelial cells
pdacb_cell_733	Ductal - terminal ductal like
pdacb_cell_734	Endothelial cells
pdacb_cell_735	Endothelial cells
pdacb_cell_736	Cancer
pdacb_cell_737	Ductal - MHC Class II
pdacb_cell_738	Ductal - terminal ductal like
pdacb_cell_739	Tuft cells
pdacb_cell_740	Ductal - terminal ductal like
pdacb_cell_741	Ductal - terminal ductal like
pdacb_cell_742	Ductal - MHC Class II
pdacb_cell_743	Endothelial cells
pdacb_cell_744	Ductal - terminal ductal like
pdacb_cell_745	Ductal - terminal ductal like
pdacb_cell_746	Ductal - CRISP3 high
pdacb_cell_747	Ductal - MHC Class II
pdacb_cell_748	Ductal - terminal ductal like
pdacb_cell_749	Cancer
pdacb_cell_750	Endothelial cells
pdacb_cell_751	Endothelial cells
pdacb_cell_752	Ductal - terminal ductal like
pdacb_cell_753	Ductal - terminal ductal like
pdacb_cell_754	Endothelial cells
pdacb_cell_755	Ductal - terminal ductal like
pdacb_cell_756	Ductal - CRISP3 high
pdacb_cell_757	Endothelial cells
pdacb_cell_758	Cancer
pdacb_cell_759	Ductal - MHC Class II
pdacb_cell_760	Ductal - terminal ductal like
pdacb_cell_761	Ductal - terminal ductal like
pdacb_cell_762	Ductal - MHC Class II
pdacb_cell_763	Tuft cells
pdacb_cell_764	Ductal - CRISP3 high
pdacb_cell_765	Tuft cells
pdacb_cell_766	mDCs
pdacb_cell_767	Ductal - terminal ductal like
pdacb_cell_768	Ductal - MHC Class II
pdacb_cell_769	Ductal - MHC Class II
pdacb_cell_770	Ductal - CRISP3 high
pdacb_cell_771	Ductal - terminal ductal like
pdacb_cell_772	Ductal - terminal ductal like
pdacb_cell_773	Ductal - terminal ductal like
pdacb_cell_774	Ductal - terminal ductal like
pdacb_cell_775	Ductal - CRISP3 high
pdacb_cell_776	Ductal - terminal ductal like
pdacb_cell_777	Ductal - terminal ductal like
pdacb_cell_778	Cancer
pdacb_cell_779	Ductal - terminal ductal like
pdacb_cell_780	Endothelial cells
pdacb_cell_781	Endothelial cells
pdacb_cell_782	Endocrine cells
pdacb_cell_783	Cancer
pdacb_cell_784	Cancer
pdacb_cell_785	Ductal - terminal ductal like
pdacb_cell_786	Ductal - terminal ductal like
pdacb_cell_787	Cancer
pdacb_cell_788	Ductal - MHC Class II
pdacb_cell_789	Ductal - terminal ductal like
pdacb_cell_790	Ductal - terminal ductal like
pdacb_cell_791	Ductal - CRISP3 high
pdacb_cell_792	Ductal - CRISP3 high
pdacb_cell_793	Cancer
pdacb_cell_794	Cancer
pdacb_cell_795	Ductal - terminal ductal like
pdacb_cell_796	Cancer
pdacb_cell_797	Ductal - terminal ductal like
pdacb_cell_798	Ductal - MHC Class II
pdacb_cell_799	Tuft cells
pdacb_cell_800	Ductal - MHC Class II
pdacb_cell_801	Cancer
pdacb_cell_802	Cancer
pdacb_cell_803	Endothelial cells
pdacb_cell_804	Ductal - CRISP3 high
pdacb_cell_805	Endothelial cells
pdacb_cell_806	Ductal - MHC Class II
pdacb_cell_807	Ductal - terminal ductal like
pdacb_cell_808	Endothelial cells
pdacb_cell_809	Ductal - MHC Class II
pdacb_cell_810	Ductal - MHC Class II
pdacb_cell_811	Ductal - terminal ductal like
pdacb_cell_812	Cancer
pdacb_cell_813	mDCs
pdacb_cell_814	Ductal - terminal ductal like
pdacb_cell_815	Cancer
pdacb_cell_816	Ductal - terminal ductal like
pdacb_cell_817	Ductal - terminal ductal like
pdacb_cell_818	Ductal - terminal ductal like
pdacb_cell_819	Endothelial cells
pdacb_cell_820	Cancer
pdacb_cell_821	Cancer
pdacb_cell_822	Cancer
pdacb_cell_823	Ductal - MHC Class II
pdacb_cell_824	Cancer
pdacb_cell_825	Ductal - MHC Class II
pdacb_cell_826	Ductal - MHC Class II
pdacb_cell_827	Endothelial cells
pdacb_cell_828	Cancer
pdacb_cell_829	Cancer
pdacb_cell_830	Endothelial cells
pdacb_cell_831	Endothelial cells
pdacb_cell_832	Cancer
pdacb_cell_833	Ductal - CRISP3 high
pdacb_cell_834	Ductal - MHC Class II
pdacb_cell_835	Ductal - terminal ductal like
pdacb_cell_836	Ductal - MHC Class II
pdacb_cell_837	mDCs
pdacb_cell_838	Ductal - terminal ductal like
pdacb_cell_839	Cancer
pdacb_cell_840	Ductal - CRISP3 high
pdacb_cell_841	Cancer
pdacb_cell_842	Macrophages
pdacb_cell_843	Cancer
pdacb_cell_844	Ductal - terminal ductal like
pdacb_cell_845	Cancer
pdacb_cell_846	Cancer
pdacb_cell_847	Ductal - terminal ductal like
pdacb_cell_848	Endothelial cells
pdacb_cell_849	Ductal - CRISP3 high
pdacb_cell_850	Ductal - terminal ductal like
pdacb_cell_851	Endothelial cells
pdacb_cell_852	Endothelial cells
pdacb_cell_853	Cancer
pdacb_cell_854	Endothelial cells
pdacb_cell_855	Ductal - terminal ductal like
pdacb_cell_856	Ductal - terminal ductal like
pdacb_cell_857	Ductal - terminal ductal like
pdacb_cell_858	Ductal - MHC Class II
pdacb_cell_859	Ductal - CRISP3 high
pdacb_cell_860	Cancer
pdacb_cell_861	Endothelial cells
pdacb_cell_862	Ductal - MHC Class II
pdacb_cell_863	Ductal - terminal ductal like
pdacb_cell_864	Ductal - CRISP3 high
pdacb_cell_865	Endothelial cells
pdacb_cell_866	Ductal - terminal ductal like
pdacb_cell_867	Cancer
pdacb_cell_868	Ductal - CRISP3 high
pdacb_cell_869	Endothelial cells
pdacb_cell_870	Ductal - terminal ductal like
pdacb_cell_871	Endothelial cells
pdacb_cell_872	Ductal - CRISP3 high
pdacb_cell_873	Ductal - MHC Class II
pdacb_cell_874	Endothelial cells
pdacb_cell_875	Ductal - MHC Class II
pdacb_cell_876	Endothelial cells
pdacb_cell_877	Ductal - CRISP3 high
pdacb_cell_878	Ductal - MHC Class II
pdacb_cell_879	Ductal - MHC Class II
pdacb_cell_880	Ductal - terminal ductal like
pdacb_cell_881	Cancer
pdacb_cell_882	Endothelial cells
pdacb_cell_883	Ductal - terminal ductal like
pdacb_cell_884	mDCs
pdacb_cell_885	Ductal - terminal ductal like
pdacb_cell_886	Tuft cells
pdacb_cell_887	Cancer
pdacb_cell_888	Endothelial cells
pdacb_cell_889	Macrophages
pdacb_cell_890	Ductal - MHC Class II
pdacb_cell_891	Ductal - CRISP3 high
pdacb_cell_892	Ductal - terminal ductal like
pdacb_cell_893	Ductal - CRISP3 high
pdacb_cell_894	Ductal - MHC Class II
pdacb_cell_895	Cancer
pdacb_cell_896	Ductal - terminal ductal like
pdacb_cell_897	Ductal - MHC Class II
pdacb_cell_898	Ductal - terminal ductal like
pdacb_cell_899	Ductal - terminal ductal like
pdacb_cell_900	Ductal - CRISP3 high
pdacb_cell_901	Ductal - terminal ductal like
pdacb_cell_902	Ductal - terminal ductal like
pdacb_cell_903	Ductal - MHC Class II
pdacb_cell_904	Ductal - terminal ductal like
pdacb_cell_905	Monocytes
pdacb_cell_906	Endothelial cells
pdacb_cell_907	Ductal - terminal ductal like
pdacb_cell_908	Cancer
pdacb_cell_909	Mast cells
pdacb_cell_910	Ductal - MHC Class II
pdacb_cell_911	Ductal - CRISP3 high
pdacb_cell_912	Ductal - terminal ductal like
pdacb_cell_913	mDCs
pdacb_cell_914	Ductal - terminal ductal like
pdacb_cell_915	Ductal - terminal ductal like
pdacb_cell_916	Ductal - terminal ductal like
pdacb_cell_917	Ductal - MHC Class II
pdacb_cell_918	Ductal - CRISP3 high
pdacb_cell_919	Endothelial cells
pdacb_cell_920	Ductal - MHC Class II
pdacb_cell_921	Cancer
pdacb_cell_922	Cancer
pdacb_cell_923	Ductal - MHC Class II
pdacb_cell_924	Endothelial cells
pdacb_cell_925	Ductal - terminal ductal like
pdacb_cell_926	Ductal - CRISP3 high
pdacb_cell_927	Ductal - MHC Class II
pdacb_cell_928	mDCs
pdacb_cell_929	Cancer
pdacb_cell_930	Ductal - CRISP3 high
pdacb_cell_931	Ductal - terminal ductal like
pdacb_cell_932	Endothelial cells
pdacb_cell_933	Ductal - terminal ductal like
pdacb_cell_934	Endothelial cells
pdacb_cell_935	Ductal - terminal ductal like
pdacb_cell_936	Ductal - CRISP3 high
pdacb_cell_937	Ductal - CRISP3 high
pdacb_cell_938	Tuft cells
pdacb_cell_939	Ductal - CRISP3 high
pdacb_cell_940	Ductal - terminal ductal like
pdacb_cell_941	Ductal - CRISP3 high
pdacb_cell_942	Ductal - terminal ductal like
pdacb_cell_943	Cancer
pdacb_cell_944	Cancer
pdacb_cell_945	Ductal - CRISP3 high
pdacb_cell_946	Ductal - terminal ductal like
pdacb_cell_947	Mast cells
pdacb_cell_948	Ductal - terminal ductal like
pdacb_cell_949	Ductal - MHC Class II
pdacb_cell_950	Ductal - CRISP3 high
pdacb_cell_951	Ductal - MHC Class II
pdacb_cell_952	Cancer
pdacb_cell_953	Endothelial cells
pdacb_cell_954	Ductal - terminal ductal like
pdacb_cell_955	Endothelial cells
pdacb_cell_956	Ductal - terminal ductal like
pdacb_cell_957	Monocytes
pdacb_cell_958	Mast cells
pdacb_cell_959	Cancer
pdacb_cell_960	Ductal - CRISP3 high
pdacb_cell_961	Ductal - MHC Class II
pdacb_cell_962	Cancer
pdacb_cell_963	Endothelial cells
pdacb_cell_964	Ductal - terminal ductal like
pdacb_cell_965	Cancer
pdacb_cell_966	Monocytes
pdacb_cell_967	Ductal - MHC Class II
pdacb_cell_968	Ductal - MHC Class II
pdacb_cell_969	Endothelial cells
pdacb_cell_970	Cancer
pdacb_cell_971	Ductal - terminal ductal like
pdacb_cell_972	Ductal - CRISP3 high
pdacb_cell_973	Ductal - terminal ductal like
pdacb_cell_974	Ductal - MHC Class II
pdacb_cell_975	mDCs
pdacb_cell_976	Ductal - terminal ductal like
pdacb_cell_977	Ductal - terminal ductal like
pdacb_cell_978	Ductal - terminal ductal like
pdacb_cell_979	Ductal - CRISP3 high
pdacb_cell_980	Monocytes
pdacb_cell_981	Endothelial cells
pdacb_cell_982	Ductal - terminal ductal like
pdacb_cell_983	Ductal - terminal ductal like
pdacb_cell_984	Endothelial cells
pdacb_cell_985	Ductal - terminal ductal like
pdacb_cell_986	Monocytes
pdacb_cell_987	Ductal - terminal ductal like
pdacb_cell_988	Monocytes
pdacb_cell_989	Ductal - CRISP3 high
pdacb_cell_990	mDCs
pdacb_cell_991	Ductal - terminal ductal like
pdacb_cell_992	Ductal - terminal ductal like
pdacb_cell_993	Monocytes
pdacb_cell_994	Ductal - terminal ductal like
pdacb_cell_995	Tuft cells
pdacb_cell_996	Ductal - CRISP3 high
pdacb_cell_997	Monocytes
pdacb_cell_998	Ductal - CRISP3 high
pdacb_cell_999	Monocytes
pdacb_cell_1000	Monocytes
pdacb_cell_1002	Monocytes
pdacb_cell_1003	Monocytes
pdacb_cell_1004	Ductal - terminal ductal like
pdacb_cell_1005	Ductal - MHC Class II
pdacb_cell_1007	Monocytes
pdacb_cell_1008	Ductal - terminal ductal like
pdacb_cell_1009	Ductal - CRISP3 high
pdacb_cell_1011	Ductal - terminal ductal like
pdacb_cell_1012	Cancer
pdacb_cell_1013	Cancer
pdacb_cell_1014	Ductal - terminal ductal like
pdacb_cell_1015	Ductal - terminal ductal like
pdacb_cell_1016	Endothelial cells
pdacb_cell_1017	Ductal - CRISP3 high
pdacb_cell_1018	Ductal - terminal ductal like
pdacb_cell_1019	Endocrine cells
pdacb_cell_1020	Ductal - terminal ductal like
pdacb_cell_1021	Ductal - terminal ductal like
pdacb_cell_1022	Cancer
pdacb_cell_1023	Ductal - terminal ductal like
pdacb_cell_1024	Cancer
pdacb_cell_1025	Ductal - terminal ductal like
pdacb_cell_1026	Cancer
pdacb_cell_1027	Ductal - MHC Class II
pdacb_cell_1028	Ductal - MHC Class II
pdacb_cell_1029	Cancer
pdacb_cell_1030	Cancer
pdacb_cell_1031	Cancer
pdacb_cell_1032	Ductal - terminal ductal like
pdacb_cell_1033	Ductal - terminal ductal like
pdacb_cell_1034	Cancer
pdacb_cell_1035	Ductal - MHC Class II
pdacb_cell_1036	Ductal - terminal ductal like
pdacb_cell_1037	Endothelial cells
pdacb_cell_1038	Cancer
pdacb_cell_1039	Ductal - MHC Class II
pdacb_cell_1040	Ductal - terminal ductal like
pdacb_cell_1041	Ductal - CRISP3 high
pdacb_cell_1042	Ductal - terminal ductal like
pdacb_cell_1043	Ductal - terminal ductal like
pdacb_cell_1044	Ductal - terminal ductal like
pdacb_cell_1045	Ductal - terminal ductal like
pdacb_cell_1046	Ductal - terminal ductal like
pdacb_cell_1047	Ductal - MHC Class II
pdacb_cell_1048	Ductal - CRISP3 high
pdacb_cell_1049	Ductal - CRISP3 high
pdacb_cell_1050	Ductal - terminal ductal like
pdacb_cell_1051	Cancer
pdacb_cell_1052	Ductal - terminal ductal like
pdacb_cell_1053	Ductal - MHC Class II
pdacb_cell_1054	Ductal - terminal ductal like
pdacb_cell_1055	Ductal - terminal ductal like
pdacb_cell_1056	Ductal - CRISP3 high
pdacb_cell_1057	Ductal - terminal ductal like
pdacb_cell_1058	Cancer
pdacb_cell_1059	Ductal - terminal ductal like
pdacb_cell_1060	Ductal - terminal ductal like
pdacb_cell_1061	Ductal - terminal ductal like
pdacb_cell_1062	Cancer
pdacb_cell_1063	Cancer
pdacb_cell_1064	Ductal - terminal ductal like
pdacb_cell_1065	Cancer
pdacb_cell_1066	Ductal - CRISP3 high
pdacb_cell_1067	Ductal - CRISP3 high
pdacb_cell_1068	Cancer
pdacb_cell_1069	Ductal - terminal ductal like
pdacb_cell_1070	Cancer
pdacb_cell_1071	Ductal - terminal ductal like
pdacb_cell_1072	Ductal - terminal ductal like
pdacb_cell_1073	Ductal - terminal ductal like
pdacb_cell_1074	Cancer
pdacb_cell_1075	Ductal - terminal ductal like
pdacb_cell_1076	Ductal - terminal ductal like
pdacb_cell_1077	Cancer
pdacb_cell_1078	Cancer
pdacb_cell_1079	Tuft cells
pdacb_cell_1080	Cancer
pdacb_cell_1081	Ductal - terminal ductal like
pdacb_cell_1082	Cancer
pdacb_cell_1083	Ductal - terminal ductal like
pdacb_cell_1084	Ductal - terminal ductal like
pdacb_cell_1085	Ductal - terminal ductal like
pdacb_cell_1086	Cancer
pdacb_cell_1087	Tuft cells
pdacb_cell_1088	Cancer
pdacb_cell_1089	Ductal - MHC Class II
pdacb_cell_1090	Ductal - terminal ductal like
pdacb_cell_1091	Ductal - terminal ductal like
pdacb_cell_1092	Ductal - terminal ductal like
pdacb_cell_1093	Ductal - MHC Class II
pdacb_cell_1094	Ductal - terminal ductal like
pdacb_cell_1095	Ductal - terminal ductal like
pdacb_cell_1096	Cancer
pdacb_cell_1097	Cancer
pdacb_cell_1098	Endothelial cells
pdacb_cell_1099	Cancer
pdacb_cell_1100	Cancer
pdacb_cell_1101	Ductal - MHC Class II
pdacb_cell_1102	Ductal - terminal ductal like
pdacb_cell_1103	Ductal - terminal ductal like
pdacb_cell_1104	Cancer
pdacb_cell_1105	Ductal - MHC Class II
pdacb_cell_1106	Ductal - terminal ductal like
pdacb_cell_1107	Cancer
pdacb_cell_1108	Ductal - MHC Class II
pdacb_cell_1109	Ductal - terminal ductal like
pdacb_cell_1110	Cancer
pdacb_cell_1111	Ductal - terminal ductal like
pdacb_cell_1112	Ductal - terminal ductal like
pdacb_cell_1113	Ductal - MHC Class II
pdacb_cell_1114	Ductal - terminal ductal like
pdacb_cell_1115	Ductal - terminal ductal like
pdacb_cell_1116	Ductal - CRISP3 high
pdacb_cell_1117	Ductal - terminal ductal like
pdacb_cell_1118	Ductal - terminal ductal like
pdacb_cell_1119	Ductal - terminal ductal like
pdacb_cell_1120	Tuft cells
pdacb_cell_1121	Ductal - terminal ductal like
pdacb_cell_1122	Ductal - terminal ductal like
pdacb_cell_1123	Ductal - terminal ductal like
pdacb_cell_1124	Ductal - MHC Class II
pdacb_cell_1125	Ductal - terminal ductal like
pdacb_cell_1126	Ductal - terminal ductal like
pdacb_cell_1127	Ductal - terminal ductal like
pdacb_cell_1128	Cancer
pdacb_cell_1129	Ductal - terminal ductal like
pdacb_cell_1130	Ductal - terminal ductal like
pdacb_cell_1131	Ductal - terminal ductal like
pdacb_cell_1132	Ductal - terminal ductal like
pdacb_cell_1133	Endocrine cells
pdacb_cell_1134	Ductal - terminal ductal like
pdacb_cell_1135	Ductal - terminal ductal like
pdacb_cell_1136	Cancer
pdacb_cell_1137	Endothelial cells
pdacb_cell_1138	Ductal - terminal ductal like
pdacb_cell_1139	Endothelial cells
pdacb_cell_1140	Cancer
pdacb_cell_1141	Ductal - terminal ductal like
pdacb_cell_1142	Ductal - terminal ductal like
pdacb_cell_1143	Ductal - CRISP3 high
pdacb_cell_1144	Cancer
pdacb_cell_1145	Ductal - CRISP3 high
pdacb_cell_1146	Ductal - MHC Class II
pdacb_cell_1147	Ductal - terminal ductal like
pdacb_cell_1148	Ductal - MHC Class II
pdacb_cell_1149	Endothelial cells
pdacb_cell_1150	Ductal - MHC Class II
pdacb_cell_1151	Ductal - terminal ductal like
pdacb_cell_1152	Ductal - terminal ductal like
pdacb_cell_1153	Ductal - terminal ductal like
pdacb_cell_1154	Ductal - MHC Class II
pdacb_cell_1155	Endocrine cells
pdacb_cell_1156	Cancer
pdacb_cell_1157	Ductal - terminal ductal like
pdacb_cell_1158	Cancer
pdacb_cell_1159	Cancer
pdacb_cell_1160	Cancer
pdacb_cell_1161	Cancer
pdacb_cell_1162	Ductal - terminal ductal like
pdacb_cell_1163	Ductal - terminal ductal like
pdacb_cell_1164	Ductal - terminal ductal like
pdacb_cell_1165	Ductal - terminal ductal like
pdacb_cell_1166	Ductal - terminal ductal like
pdacb_cell_1167	Ductal - terminal ductal like
pdacb_cell_1168	Ductal - CRISP3 high
pdacb_cell_1169	Ductal - terminal ductal like
pdacb_cell_1170	Ductal - MHC Class II
pdacb_cell_1172	Cancer
pdacb_cell_1173	Cancer
pdacb_cell_1174	Cancer
pdacb_cell_1175	Ductal - terminal ductal like
pdacb_cell_1176	Endothelial cells
pdacb_cell_1177	Cancer
pdacb_cell_1178	Ductal - terminal ductal like
pdacb_cell_1179	Ductal - terminal ductal like
pdacb_cell_1180	Endothelial cells
pdacb_cell_1181	Ductal - MHC Class II
pdacb_cell_1182	Ductal - CRISP3 high
pdacb_cell_1183	mDCs
pdacb_cell_1184	Ductal - terminal ductal like
pdacb_cell_1185	Endothelial cells
pdacb_cell_1186	Endothelial cells
pdacb_cell_1187	Ductal - terminal ductal like
pdacb_cell_1188	Cancer
pdacb_cell_1189	Mast cells
pdacb_cell_1190	Ductal - terminal ductal like
pdacb_cell_1191	Ductal - MHC Class II
pdacb_cell_1192	Cancer
pdacb_cell_1193	Ductal - terminal ductal like
pdacb_cell_1194	Cancer
pdacb_cell_1195	Ductal - terminal ductal like
pdacb_cell_1196	Endothelial cells
pdacb_cell_1197	Endothelial cells
pdacb_cell_1198	Ductal - CRISP3 high
pdacb_cell_1199	Ductal - terminal ductal like
pdacb_cell_1200	Cancer
pdacb_cell_1201	Ductal - terminal ductal like
pdacb_cell_1202	Ductal - terminal ductal like
pdacb_cell_1203	Ductal - terminal ductal like
pdacb_cell_1204	Ductal - CRISP3 high
pdacb_cell_1205	Endothelial cells
pdacb_cell_1206	Ductal - MHC Class II
pdacb_cell_1207	Cancer
pdacb_cell_1208	Ductal - terminal ductal like
pdacb_cell_1209	Cancer
pdacb_cell_1210	Tuft cells
pdacb_cell_1211	Cancer
pdacb_cell_1212	Cancer
pdacb_cell_1213	Cancer
pdacb_cell_1214	Ductal - terminal ductal like
pdacb_cell_1215	Ductal - terminal ductal like
pdacb_cell_1216	Ductal - terminal ductal like
pdacb_cell_1217	Ductal - terminal ductal like
pdacb_cell_1218	Ductal - terminal ductal like
pdacb_cell_1219	Ductal - terminal ductal like
pdacb_cell_1220	Ductal - terminal ductal like
pdacb_cell_1221	Cancer
pdacb_cell_1222	Ductal - terminal ductal like
pdacb_cell_1223	Cancer
pdacb_cell_1224	Ductal - CRISP3 high
pdacb_cell_1225	Ductal - terminal ductal like
pdacb_cell_1226	Cancer
pdacb_cell_1227	Ductal - MHC Class II
pdacb_cell_1228	Endocrine cells
pdacb_cell_1229	Ductal - terminal ductal like
pdacb_cell_1230	Endothelial cells
pdacb_cell_1231	Cancer
pdacb_cell_1232	Ductal - terminal ductal like
pdacb_cell_1233	Cancer
pdacb_cell_1234	Cancer
pdacb_cell_1235	Endothelial cells
pdacb_cell_1236	Ductal - CRISP3 high
pdacb_cell_1237	Endothelial cells
pdacb_cell_1238	Cancer
pdacb_cell_1239	Ductal - MHC Class II
pdacb_cell_1240	Cancer
pdacb_cell_1241	Ductal - terminal ductal like
pdacb_cell_1242	Ductal - terminal ductal like
pdacb_cell_1243	Cancer
pdacb_cell_1244	Endothelial cells
pdacb_cell_1245	Ductal - CRISP3 high
pdacb_cell_1246	Cancer
pdacb_cell_1247	Mast cells
pdacb_cell_1248	Ductal - terminal ductal like
pdacb_cell_1249	Cancer
pdacb_cell_1250	Ductal - MHC Class II
pdacb_cell_1251	Ductal - terminal ductal like
pdacb_cell_1252	Ductal - terminal ductal like
pdacb_cell_1253	Ductal - terminal ductal like
pdacb_cell_1254	Ductal - MHC Class II
pdacb_cell_1255	Cancer
pdacb_cell_1256	Ductal - CRISP3 high
pdacb_cell_1257	Ductal - terminal ductal like
pdacb_cell_1258	Ductal - terminal ductal like
pdacb_cell_1259	Cancer
pdacb_cell_1260	Cancer
pdacb_cell_1261	Ductal - terminal ductal like
pdacb_cell_1262	Ductal - terminal ductal like
pdacb_cell_1263	Endothelial cells
pdacb_cell_1264	Ductal - terminal ductal like
pdacb_cell_1265	Cancer
pdacb_cell_1266	Cancer
pdacb_cell_1267	Ductal - terminal ductal like
pdacb_cell_1268	Ductal - CRISP3 high
pdacb_cell_1269	Cancer
pdacb_cell_1270	Ductal - CRISP3 high
pdacb_cell_1271	Cancer
pdacb_cell_1272	Tuft cells
pdacb_cell_1273	Ductal - terminal ductal like
pdacb_cell_1274	Ductal - MHC Class II
pdacb_cell_1275	Endothelial cells
pdacb_cell_1276	Endothelial cells
pdacb_cell_1277	Ductal - MHC Class II
pdacb_cell_1278	Cancer
pdacb_cell_1279	Ductal - MHC Class II
pdacb_cell_1280	Cancer
pdacb_cell_1281	Ductal - CRISP3 high
pdacb_cell_1282	Cancer
pdacb_cell_1283	Ductal - terminal ductal like
pdacb_cell_1284	Endothelial cells
pdacb_cell_1285	mDCs
pdacb_cell_1286	Ductal - CRISP3 high
pdacb_cell_1287	Cancer
pdacb_cell_1288	Ductal - MHC Class II
pdacb_cell_1289	Ductal - MHC Class II
pdacb_cell_1290	Ductal - CRISP3 high
pdacb_cell_1291	Ductal - MHC Class II
pdacb_cell_1292	Ductal - MHC Class II
pdacb_cell_1293	Ductal - terminal ductal like
pdacb_cell_1294	Cancer
pdacb_cell_1295	Cancer
pdacb_cell_1296	Ductal - terminal ductal like
pdacb_cell_1297	Ductal - MHC Class II
pdacb_cell_1298	Cancer
pdacb_cell_1299	Endothelial cells
pdacb_cell_1300	Ductal - terminal ductal like
pdacb_cell_1301	Endothelial cells
pdacb_cell_1302	Ductal - CRISP3 high
pdacb_cell_1303	Macrophages
pdacb_cell_1304	Ductal - terminal ductal like
pdacb_cell_1305	Ductal - terminal ductal like
pdacb_cell_1306	Endothelial cells
pdacb_cell_1307	Ductal - MHC Class II
pdacb_cell_1308	Cancer
pdacb_cell_1309	Ductal - MHC Class II
pdacb_cell_1310	Ductal - terminal ductal like
pdacb_cell_1311	Ductal - terminal ductal like
pdacb_cell_1312	Endothelial cells
pdacb_cell_1313	Ductal - terminal ductal like
pdacb_cell_1314	Cancer
pdacb_cell_1315	Cancer
pdacb_cell_1316	Ductal - terminal ductal like
pdacb_cell_1317	Ductal - terminal ductal like
pdacb_cell_1318	Ductal - terminal ductal like
pdacb_cell_1319	Cancer
pdacb_cell_1320	Ductal - terminal ductal like
pdacb_cell_1321	Cancer
pdacb_cell_1322	Ductal - terminal ductal like
pdacb_cell_1323	Endothelial cells
pdacb_cell_1324	Cancer
pdacb_cell_1325	Ductal - terminal ductal like
pdacb_cell_1326	Ductal - MHC Class II
pdacb_cell_1327	Ductal - MHC Class II
pdacb_cell_1328	Ductal - MHC Class II
pdacb_cell_1329	Ductal - MHC Class II
pdacb_cell_1330	Cancer
pdacb_cell_1331	Endothelial cells
pdacb_cell_1332	Ductal - MHC Class II
pdacb_cell_1333	Ductal - terminal ductal like
pdacb_cell_1334	Ductal - CRISP3 high
pdacb_cell_1335	Ductal - terminal ductal like
pdacb_cell_1336	Ductal - terminal ductal like
pdacb_cell_1337	Ductal - terminal ductal like
pdacb_cell_1338	Ductal - terminal ductal like
pdacb_cell_1339	Cancer
pdacb_cell_1340	Ductal - terminal ductal like
pdacb_cell_1341	Endothelial cells
pdacb_cell_1342	Ductal - terminal ductal like
pdacb_cell_1343	Ductal - terminal ductal like
pdacb_cell_1344	Tuft cells
pdacb_cell_1345	Ductal - MHC Class II
pdacb_cell_1346	Ductal - terminal ductal like
pdacb_cell_1347	Ductal - terminal ductal like
pdacb_cell_1348	Tuft cells
pdacb_cell_1349	Ductal - terminal ductal like
pdacb_cell_1350	Tuft cells
pdacb_cell_1351	Cancer
pdacb_cell_1352	Ductal - terminal ductal like
pdacb_cell_1353	Ductal - terminal ductal like
pdacb_cell_1354	Cancer
pdacb_cell_1355	Ductal - MHC Class II
pdacb_cell_1356	Endothelial cells
